id_factura,numero,fecha,condicion_IVA,id_sucursal,id_cliente
117,F-0001-00000117,17/01/2023,Consumidor Final,1,3
118,F-0001-00000118,17/01/2023,Consumidor Final,1,6
119,F-0001-00000119,17/01/2023,Consumidor Final,1,10
120,F-0001-00000120,17/01/2023,Consumidor Final,1,7
121,F-0001-00000121,17/01/2023,Consumidor Final,1,4
122,F-0001-00000122,17/01/2023,Consumidor Final,1,4
123,F-0001-00000123,18/01/2023,Consumidor Final,1,8
124,F-0001-00000124,18/01/2023,Consumidor Final,1,7
125,F-0001-00000125,18/01/2023,Consumidor Final,1,5
126,F-0001-00000126,18/01/2023,Consumidor Final,1,4
127,F-0001-00000127,18/01/2023,Consumidor Final,1,6
128,F-0001-00000128,18/01/2023,Consumidor Final,1,2
129,F-0001-00000129,18/01/2023,Consumidor Final,1,8
130,F-0001-00000130,18/01/2023,Consumidor Final,1,7
131,F-0001-00000131,18/01/2023,Consumidor Final,1,10
132,F-0001-00000132,18/01/2023,Consumidor Final,1,5
133,F-0001-00000133,18/01/2023,Consumidor Final,1,1
134,F-0001-00000134,18/01/2023,Consumidor Final,1,7
135,F-0001-00000135,18/01/2023,Consumidor Final,1,6
136,F-0001-00000136,19/01/2023,Consumidor Final,1,1
137,F-0001-00000137,19/01/2023,Consumidor Final,1,5
138,F-0001-00000138,19/01/2023,Consumidor Final,1,2
139,F-0001-00000139,19/01/2023,Consumidor Final,1,10
140,F-0001-00000140,19/01/2023,Consumidor Final,1,9
141,F-0001-00000141,19/01/2023,Consumidor Final,1,4
142,F-0001-00000142,19/01/2023,Consumidor Final,1,4
143,F-0001-00000143,20/01/2023,Consumidor Final,1,8
144,F-0001-00000144,20/01/2023,Consumidor Final,1,7
145,F-0001-00000145,20/01/2023,Consumidor Final,1,5
146,F-0001-00000146,20/01/2023,Consumidor Final,1,4
147,F-0001-00000147,20/01/2023,Consumidor Final,1,10
148,F-0001-00000148,20/01/2023,Consumidor Final,1,4
149,F-0001-00000149,20/01/2023,Consumidor Final,1,2
150,F-0001-00000150,20/01/2023,Consumidor Final,1,7
151,F-0001-00000151,20/01/2023,Consumidor Final,1,8
152,F-0001-00000152,23/01/2023,Consumidor Final,1,5
153,F-0001-00000153,23/01/2023,Consumidor Final,1,8
154,F-0001-00000154,23/01/2023,Consumidor Final,1,9
155,F-0001-00000155,23/01/2023,Consumidor Final,1,7
156,F-0001-00000156,23/01/2023,Consumidor Final,1,6
157,F-0001-00000157,23/01/2023,Consumidor Final,1,9
158,F-0001-00000158,23/01/2023,Consumidor Final,1,5
159,F-0001-00000159,23/01/2023,Consumidor Final,1,9
160,F-0001-00000160,23/01/2023,Consumidor Final,1,9
161,F-0001-00000161,23/01/2023,Consumidor Final,1,1
162,F-0001-00000162,23/01/2023,Consumidor Final,1,10
163,F-0001-00000163,23/01/2023,Consumidor Final,1,4
164,F-0001-00000164,24/01/2023,Consumidor Final,1,2
165,F-0001-00000165,24/01/2023,Consumidor Final,1,9
166,F-0001-00000166,24/01/2023,Consumidor Final,1,6
167,F-0001-00000167,24/01/2023,Consumidor Final,1,10
168,F-0001-00000168,24/01/2023,Consumidor Final,1,7
169,F-0001-00000169,25/01/2023,Consumidor Final,1,4
170,F-0001-00000170,25/01/2023,Consumidor Final,1,1
171,F-0001-00000171,25/01/2023,Consumidor Final,1,7
172,F-0001-00000172,25/01/2023,Consumidor Final,1,6
173,F-0001-00000173,25/01/2023,Consumidor Final,1,4
174,F-0001-00000174,25/01/2023,Consumidor Final,1,8
175,F-0001-00000175,25/01/2023,Consumidor Final,1,1
176,F-0001-00000176,25/01/2023,Consumidor Final,1,2
177,F-0001-00000177,25/01/2023,Consumidor Final,1,2
178,F-0001-00000178,25/01/2023,Consumidor Final,1,1
179,F-0001-00000179,25/01/2023,Consumidor Final,1,4
180,F-0001-00000180,25/01/2023,Consumidor Final,1,6
181,F-0001-00000181,26/01/2023,Consumidor Final,1,7
182,F-0001-00000182,26/01/2023,Consumidor Final,1,10
183,F-0001-00000183,26/01/2023,Consumidor Final,1,3
184,F-0001-00000184,26/01/2023,Consumidor Final,1,6
185,F-0001-00000185,26/01/2023,Consumidor Final,1,9
186,F-0001-00000186,26/01/2023,Consumidor Final,1,8
187,F-0001-00000187,27/01/2023,Consumidor Final,1,9
188,F-0001-00000188,27/01/2023,Consumidor Final,1,3
189,F-0001-00000189,27/01/2023,Consumidor Final,1,5
190,F-0001-00000190,27/01/2023,Consumidor Final,1,2
191,F-0001-00000191,27/01/2023,Consumidor Final,1,3
192,F-0001-00000192,30/01/2023,Consumidor Final,1,7
193,F-0001-00000193,30/01/2023,Consumidor Final,1,8
194,F-0001-00000194,30/01/2023,Consumidor Final,1,2
195,F-0001-00000195,30/01/2023,Consumidor Final,1,10
196,F-0001-00000196,30/01/2023,Consumidor Final,1,3
197,F-0001-00000197,30/01/2023,Consumidor Final,1,10
198,F-0001-00000198,30/01/2023,Consumidor Final,1,10
199,F-0001-00000199,30/01/2023,Consumidor Final,1,9
200,F-0001-00000200,30/01/2023,Consumidor Final,1,9
201,F-0001-00000201,30/01/2023,Consumidor Final,1,1
202,F-0001-00000202,30/01/2023,Consumidor Final,1,6
203,F-0001-00000203,30/01/2023,Consumidor Final,1,7
204,F-0001-00000204,30/01/2023,Consumidor Final,1,7
205,F-0001-00000205,30/01/2023,Consumidor Final,1,9
206,F-0001-00000206,30/01/2023,Consumidor Final,1,4
207,F-0001-00000207,31/01/2023,Consumidor Final,1,8
208,F-0001-00000208,31/01/2023,Consumidor Final,1,5
209,F-0001-00000209,31/01/2023,Consumidor Final,1,4
210,F-0001-00000210,31/01/2023,Consumidor Final,1,8
211,F-0001-00000211,31/01/2023,Consumidor Final,1,10
212,F-0001-00000212,31/01/2023,Consumidor Final,1,6
213,F-0001-00000213,31/01/2023,Consumidor Final,1,6
214,F-0001-00000214,31/01/2023,Consumidor Final,1,6
215,F-0001-00000215,01/02/2023,Consumidor Final,1,1
216,F-0001-00000216,01/02/2023,Consumidor Final,1,3
217,F-0001-00000217,01/02/2023,Consumidor Final,1,1
218,F-0001-00000218,01/02/2023,Consumidor Final,1,6
219,F-0001-00000219,01/02/2023,Consumidor Final,1,5
220,F-0001-00000220,01/02/2023,Consumidor Final,1,2
221,F-0001-00000221,01/02/2023,Consumidor Final,1,10
222,F-0001-00000222,02/02/2023,Consumidor Final,1,5
223,F-0001-00000223,02/02/2023,Consumidor Final,1,4
224,F-0001-00000224,02/02/2023,Consumidor Final,1,1
225,F-0001-00000225,02/02/2023,Consumidor Final,1,10
226,F-0001-00000226,02/02/2023,Consumidor Final,1,5
227,F-0001-00000227,02/02/2023,Consumidor Final,1,1
228,F-0001-00000228,03/02/2023,Consumidor Final,1,5
229,F-0001-00000229,03/02/2023,Consumidor Final,1,9
230,F-0001-00000230,03/02/2023,Consumidor Final,1,2
231,F-0001-00000231,03/02/2023,Consumidor Final,1,4
232,F-0001-00000232,03/02/2023,Consumidor Final,1,7
233,F-0001-00000233,03/02/2023,Consumidor Final,1,2
234,F-0001-00000234,03/02/2023,Consumidor Final,1,5
235,F-0001-00000235,03/02/2023,Consumidor Final,1,9
236,F-0001-00000236,03/02/2023,Consumidor Final,1,6
237,F-0001-00000237,03/02/2023,Consumidor Final,1,5
238,F-0001-00000238,03/02/2023,Consumidor Final,1,2
239,F-0001-00000239,03/02/2023,Consumidor Final,1,1
240,F-0001-00000240,06/02/2023,Consumidor Final,1,10
241,F-0001-00000241,06/02/2023,Consumidor Final,1,1
242,F-0001-00000242,06/02/2023,Consumidor Final,1,1
243,F-0001-00000243,06/02/2023,Consumidor Final,1,1
244,F-0001-00000244,06/02/2023,Consumidor Final,1,8
245,F-0001-00000245,07/02/2023,Consumidor Final,1,10
246,F-0001-00000246,07/02/2023,Consumidor Final,1,5
247,F-0001-00000247,07/02/2023,Consumidor Final,1,8
248,F-0001-00000248,07/02/2023,Consumidor Final,1,3
249,F-0001-00000249,07/02/2023,Consumidor Final,1,1
250,F-0001-00000250,07/02/2023,Consumidor Final,1,10
251,F-0001-00000251,08/02/2023,Consumidor Final,1,3
252,F-0001-00000252,08/02/2023,Consumidor Final,1,4
253,F-0001-00000253,08/02/2023,Consumidor Final,1,7
254,F-0001-00000254,08/02/2023,Consumidor Final,1,10
255,F-0001-00000255,08/02/2023,Consumidor Final,1,7
256,F-0001-00000256,08/02/2023,Consumidor Final,1,2
257,F-0001-00000257,08/02/2023,Consumidor Final,1,4
258,F-0001-00000258,08/02/2023,Consumidor Final,1,10
259,F-0001-00000259,08/02/2023,Consumidor Final,1,4
260,F-0001-00000260,08/02/2023,Consumidor Final,1,2
261,F-0001-00000261,08/02/2023,Consumidor Final,1,2
262,F-0001-00000262,08/02/2023,Consumidor Final,1,9
263,F-0001-00000263,08/02/2023,Consumidor Final,1,6
264,F-0001-00000264,08/02/2023,Consumidor Final,1,3
265,F-0001-00000265,08/02/2023,Consumidor Final,1,4
266,F-0001-00000266,09/02/2023,Consumidor Final,1,10
267,F-0001-00000267,09/02/2023,Consumidor Final,1,3
268,F-0001-00000268,09/02/2023,Consumidor Final,1,1
269,F-0001-00000269,09/02/2023,Consumidor Final,1,9
270,F-0001-00000270,09/02/2023,Consumidor Final,1,3
271,F-0001-00000271,09/02/2023,Consumidor Final,1,3
272,F-0001-00000272,09/02/2023,Consumidor Final,1,3
273,F-0001-00000273,09/02/2023,Consumidor Final,1,2
274,F-0001-00000274,09/02/2023,Consumidor Final,1,10
275,F-0001-00000275,10/02/2023,Consumidor Final,1,3
276,F-0001-00000276,10/02/2023,Consumidor Final,1,9
277,F-0001-00000277,10/02/2023,Consumidor Final,1,7
278,F-0001-00000278,10/02/2023,Consumidor Final,1,3
279,F-0001-00000279,10/02/2023,Consumidor Final,1,8
280,F-0001-00000280,10/02/2023,Consumidor Final,1,1
281,F-0001-00000281,10/02/2023,Consumidor Final,1,9
282,F-0001-00000282,10/02/2023,Consumidor Final,1,2
283,F-0001-00000283,10/02/2023,Consumidor Final,1,2
284,F-0001-00000284,10/02/2023,Consumidor Final,1,5
285,F-0001-00000285,10/02/2023,Consumidor Final,1,10
286,F-0001-00000286,10/02/2023,Consumidor Final,1,5
287,F-0001-00000287,10/02/2023,Consumidor Final,1,1
288,F-0001-00000288,10/02/2023,Consumidor Final,1,2
289,F-0001-00000289,13/02/2023,Consumidor Final,1,10
290,F-0001-00000290,13/02/2023,Consumidor Final,1,8
291,F-0001-00000291,13/02/2023,Consumidor Final,1,5
292,F-0001-00000292,13/02/2023,Consumidor Final,1,1
293,F-0001-00000293,13/02/2023,Consumidor Final,1,4
294,F-0001-00000294,13/02/2023,Consumidor Final,1,9
295,F-0001-00000295,13/02/2023,Consumidor Final,1,6
296,F-0001-00000296,14/02/2023,Consumidor Final,1,2
297,F-0001-00000297,14/02/2023,Consumidor Final,1,1
298,F-0001-00000298,14/02/2023,Consumidor Final,1,2
299,F-0001-00000299,14/02/2023,Consumidor Final,1,5
300,F-0001-00000300,14/02/2023,Consumidor Final,1,2
301,F-0001-00000301,14/02/2023,Consumidor Final,1,5
302,F-0001-00000302,14/02/2023,Consumidor Final,1,10
303,F-0001-00000303,14/02/2023,Consumidor Final,1,10
304,F-0001-00000304,14/02/2023,Consumidor Final,1,2
305,F-0001-00000305,14/02/2023,Consumidor Final,1,5
306,F-0001-00000306,14/02/2023,Consumidor Final,1,2
307,F-0001-00000307,14/02/2023,Consumidor Final,1,8
308,F-0001-00000308,15/02/2023,Consumidor Final,1,9
309,F-0001-00000309,15/02/2023,Consumidor Final,1,1
310,F-0001-00000310,15/02/2023,Consumidor Final,1,7
311,F-0001-00000311,15/02/2023,Consumidor Final,1,5
312,F-0001-00000312,15/02/2023,Consumidor Final,1,9
313,F-0001-00000313,15/02/2023,Consumidor Final,1,10
314,F-0001-00000314,15/02/2023,Consumidor Final,1,3
315,F-0001-00000315,15/02/2023,Consumidor Final,1,2
316,F-0001-00000316,15/02/2023,Consumidor Final,1,8
317,F-0001-00000317,15/02/2023,Consumidor Final,1,8
318,F-0001-00000318,15/02/2023,Consumidor Final,1,1
319,F-0001-00000319,15/02/2023,Consumidor Final,1,4
320,F-0001-00000320,15/02/2023,Consumidor Final,1,2
321,F-0001-00000321,15/02/2023,Consumidor Final,1,9
322,F-0001-00000322,15/02/2023,Consumidor Final,1,4
323,F-0001-00000323,16/02/2023,Consumidor Final,1,10
324,F-0001-00000324,16/02/2023,Consumidor Final,1,8
325,F-0001-00000325,16/02/2023,Consumidor Final,1,3
326,F-0001-00000326,16/02/2023,Consumidor Final,1,6
327,F-0001-00000327,16/02/2023,Consumidor Final,1,2
328,F-0001-00000328,16/02/2023,Consumidor Final,1,7
329,F-0001-00000329,16/02/2023,Consumidor Final,1,2
330,F-0001-00000330,16/02/2023,Consumidor Final,1,2
331,F-0001-00000331,17/02/2023,Consumidor Final,1,5
332,F-0001-00000332,17/02/2023,Consumidor Final,1,9
333,F-0001-00000333,17/02/2023,Consumidor Final,1,6
334,F-0001-00000334,17/02/2023,Consumidor Final,1,3
335,F-0001-00000335,17/02/2023,Consumidor Final,1,3
336,F-0001-00000336,17/02/2023,Consumidor Final,1,1
337,F-0001-00000337,17/02/2023,Consumidor Final,1,9
338,F-0001-00000338,17/02/2023,Consumidor Final,1,10
339,F-0001-00000339,17/02/2023,Consumidor Final,1,10
340,F-0001-00000340,17/02/2023,Consumidor Final,1,7
341,F-0001-00000341,20/02/2023,Consumidor Final,1,2
342,F-0001-00000342,20/02/2023,Consumidor Final,1,5
343,F-0001-00000343,20/02/2023,Consumidor Final,1,10
344,F-0001-00000344,20/02/2023,Consumidor Final,1,6
345,F-0001-00000345,20/02/2023,Consumidor Final,1,7
346,F-0001-00000346,20/02/2023,Consumidor Final,1,7
347,F-0001-00000347,20/02/2023,Consumidor Final,1,7
348,F-0001-00000348,21/02/2023,Consumidor Final,1,10
349,F-0001-00000349,21/02/2023,Consumidor Final,1,5
350,F-0001-00000350,21/02/2023,Consumidor Final,1,3
351,F-0001-00000351,21/02/2023,Consumidor Final,1,2
352,F-0001-00000352,21/02/2023,Consumidor Final,1,10
353,F-0001-00000353,21/02/2023,Consumidor Final,1,4
354,F-0001-00000354,21/02/2023,Consumidor Final,1,2
355,F-0001-00000355,21/02/2023,Consumidor Final,1,8
356,F-0001-00000356,21/02/2023,Consumidor Final,1,3
357,F-0001-00000357,21/02/2023,Consumidor Final,1,5
358,F-0001-00000358,21/02/2023,Consumidor Final,1,8
359,F-0001-00000359,21/02/2023,Consumidor Final,1,8
360,F-0001-00000360,21/02/2023,Consumidor Final,1,4
361,F-0001-00000361,21/02/2023,Consumidor Final,1,9
362,F-0001-00000362,21/02/2023,Consumidor Final,1,2
363,F-0001-00000363,22/02/2023,Consumidor Final,1,10
364,F-0001-00000364,22/02/2023,Consumidor Final,1,7
365,F-0001-00000365,22/02/2023,Consumidor Final,1,1
366,F-0001-00000366,22/02/2023,Consumidor Final,1,5
367,F-0001-00000367,22/02/2023,Consumidor Final,1,4
368,F-0001-00000368,22/02/2023,Consumidor Final,1,1
369,F-0001-00000369,22/02/2023,Consumidor Final,1,6
370,F-0001-00000370,22/02/2023,Consumidor Final,1,9
371,F-0001-00000371,22/02/2023,Consumidor Final,1,10
372,F-0001-00000372,22/02/2023,Consumidor Final,1,2
373,F-0001-00000373,22/02/2023,Consumidor Final,1,9
374,F-0001-00000374,22/02/2023,Consumidor Final,1,9
375,F-0001-00000375,22/02/2023,Consumidor Final,1,3
376,F-0001-00000376,22/02/2023,Consumidor Final,1,3
377,F-0001-00000377,22/02/2023,Consumidor Final,1,7
378,F-0001-00000378,23/02/2023,Consumidor Final,1,2
379,F-0001-00000379,23/02/2023,Consumidor Final,1,5
380,F-0001-00000380,23/02/2023,Consumidor Final,1,10
381,F-0001-00000381,23/02/2023,Consumidor Final,1,8
382,F-0001-00000382,23/02/2023,Consumidor Final,1,8
383,F-0001-00000383,23/02/2023,Consumidor Final,1,6
384,F-0001-00000384,23/02/2023,Consumidor Final,1,7
385,F-0001-00000385,23/02/2023,Consumidor Final,1,6
386,F-0001-00000386,23/02/2023,Consumidor Final,1,5
387,F-0001-00000387,23/02/2023,Consumidor Final,1,10
388,F-0001-00000388,24/02/2023,Consumidor Final,1,7
389,F-0001-00000389,24/02/2023,Consumidor Final,1,8
390,F-0001-00000390,24/02/2023,Consumidor Final,1,10
391,F-0001-00000391,24/02/2023,Consumidor Final,1,2
392,F-0001-00000392,24/02/2023,Consumidor Final,1,2
393,F-0001-00000393,24/02/2023,Consumidor Final,1,9
394,F-0001-00000394,24/02/2023,Consumidor Final,1,7
395,F-0001-00000395,24/02/2023,Consumidor Final,1,9
396,F-0001-00000396,24/02/2023,Consumidor Final,1,10
397,F-0001-00000397,27/02/2023,Consumidor Final,1,10
398,F-0001-00000398,27/02/2023,Consumidor Final,1,9
399,F-0001-00000399,27/02/2023,Consumidor Final,1,2
400,F-0001-00000400,27/02/2023,Consumidor Final,1,4
401,F-0001-00000401,27/02/2023,Consumidor Final,1,2
402,F-0001-00000402,27/02/2023,Consumidor Final,1,4
403,F-0001-00000403,27/02/2023,Consumidor Final,1,3
404,F-0001-00000404,27/02/2023,Consumidor Final,1,2
405,F-0001-00000405,27/02/2023,Consumidor Final,1,5
406,F-0001-00000406,27/02/2023,Consumidor Final,1,1
407,F-0001-00000407,27/02/2023,Consumidor Final,1,6
408,F-0001-00000408,27/02/2023,Consumidor Final,1,4
409,F-0001-00000409,28/02/2023,Consumidor Final,1,7
410,F-0001-00000410,28/02/2023,Consumidor Final,1,8
411,F-0001-00000411,28/02/2023,Consumidor Final,1,8
412,F-0001-00000412,28/02/2023,Consumidor Final,1,5
413,F-0001-00000413,28/02/2023,Consumidor Final,1,7
414,F-0001-00000414,01/03/2023,Consumidor Final,1,3
415,F-0001-00000415,01/03/2023,Consumidor Final,1,4
416,F-0001-00000416,01/03/2023,Consumidor Final,1,7
417,F-0001-00000417,01/03/2023,Consumidor Final,1,10
418,F-0001-00000418,01/03/2023,Consumidor Final,1,2
419,F-0001-00000419,01/03/2023,Consumidor Final,1,2
420,F-0001-00000420,01/03/2023,Consumidor Final,1,6
421,F-0001-00000421,01/03/2023,Consumidor Final,1,5
422,F-0001-00000422,01/03/2023,Consumidor Final,1,5
423,F-0001-00000423,02/03/2023,Consumidor Final,1,10
424,F-0001-00000424,02/03/2023,Consumidor Final,1,1
425,F-0001-00000425,02/03/2023,Consumidor Final,1,1
426,F-0001-00000426,02/03/2023,Consumidor Final,1,6
427,F-0001-00000427,02/03/2023,Consumidor Final,1,9
428,F-0001-00000428,02/03/2023,Consumidor Final,1,7
429,F-0001-00000429,02/03/2023,Consumidor Final,1,7
430,F-0001-00000430,02/03/2023,Consumidor Final,1,9
431,F-0001-00000431,02/03/2023,Consumidor Final,1,3
432,F-0001-00000432,02/03/2023,Consumidor Final,1,7
433,F-0001-00000433,03/03/2023,Consumidor Final,1,2
434,F-0001-00000434,03/03/2023,Consumidor Final,1,4
435,F-0001-00000435,03/03/2023,Consumidor Final,1,8
436,F-0001-00000436,03/03/2023,Consumidor Final,1,8
437,F-0001-00000437,03/03/2023,Consumidor Final,1,7
438,F-0001-00000438,03/03/2023,Consumidor Final,1,4
439,F-0001-00000439,03/03/2023,Consumidor Final,1,6
440,F-0001-00000440,03/03/2023,Consumidor Final,1,8
441,F-0001-00000441,03/03/2023,Consumidor Final,1,9
442,F-0001-00000442,03/03/2023,Consumidor Final,1,10
443,F-0001-00000443,03/03/2023,Consumidor Final,1,9
444,F-0001-00000444,03/03/2023,Consumidor Final,1,10
445,F-0001-00000445,03/03/2023,Consumidor Final,1,9
446,F-0001-00000446,03/03/2023,Consumidor Final,1,7
447,F-0001-00000447,06/03/2023,Consumidor Final,1,2
448,F-0001-00000448,06/03/2023,Consumidor Final,1,7
449,F-0001-00000449,06/03/2023,Consumidor Final,1,6
450,F-0001-00000450,06/03/2023,Consumidor Final,1,7
451,F-0001-00000451,06/03/2023,Consumidor Final,1,6
452,F-0001-00000452,06/03/2023,Consumidor Final,1,7
453,F-0001-00000453,06/03/2023,Consumidor Final,1,2
454,F-0001-00000454,07/03/2023,Consumidor Final,1,6
455,F-0001-00000455,07/03/2023,Consumidor Final,1,5
456,F-0001-00000456,07/03/2023,Consumidor Final,1,2
457,F-0001-00000457,07/03/2023,Consumidor Final,1,7
458,F-0001-00000458,07/03/2023,Consumidor Final,1,6
459,F-0001-00000459,07/03/2023,Consumidor Final,1,1
460,F-0001-00000460,07/03/2023,Consumidor Final,1,1
461,F-0001-00000461,07/03/2023,Consumidor Final,1,3
462,F-0001-00000462,07/03/2023,Consumidor Final,1,7
463,F-0001-00000463,07/03/2023,Consumidor Final,1,4
464,F-0001-00000464,07/03/2023,Consumidor Final,1,10
465,F-0001-00000465,07/03/2023,Consumidor Final,1,9
