id_facturaDET,id_facturaENC,id_producto,cantidad,precio_unitario
159,57,2,2,650000
160,57,4,1,9500
161,57,2,1,650000
162,58,8,3,32000
163,58,9,1,45000
164,58,11,2,250000
165,58,12,1,210000
166,58,12,2,210000
167,59,11,3,250000
168,59,10,2,380000
169,60,4,1,9500
170,60,4,1,9500
171,60,8,1,32000
172,60,11,2,250000
173,61,1,3,520000
174,61,1,2,520000
175,61,10,2,380000
176,61,2,3,650000
177,62,5,3,18000
178,62,11,1,250000
179,62,5,2,18000
180,62,4,2,9500
181,62,10,1,380000
182,63,6,1,22000
183,64,7,2,27000
184,64,1,1,520000
185,64,3,2,98000
186,64,5,1,18000
187,65,8,3,32000
188,65,12,3,210000
189,66,4,2,9500
190,67,3,2,98000
191,67,4,2,9500
192,67,2,1,650000
193,67,2,2,650000
194,68,2,3,650000
195,68,10,3,380000
196,68,1,2,520000
197,68,5,2,18000
198,68,11,1,250000
199,69,7,3,27000
200,69,9,1,45000
201,70,1,1,520000
202,71,8,3,32000
203,72,1,3,520000
204,72,10,1,380000
205,72,10,1,380000
206,72,4,2,9500
207,73,3,1,98000
208,73,3,3,98000
209,73,6,2,22000
210,74,8,1,32000
211,75,7,3,27000
212,75,10,2,380000
213,75,11,2,250000
214,75,12,2,210000
215,76,4,1,9500
216,76,5,2,18000
217,76,5,1,18000
218,76,11,3,250000
219,77,3,3,98000
220,77,4,1,9500
221,78,9,3,45000
222,79,2,2,650000
223,79,2,3,650000
224,80,8,2,32000
225,80,11,3,250000
226,80,10,1,380000
227,80,7,2,27000
228,80,9,1,45000
229,81,1,1,520000
230,81,4,2,9500
231,81,12,1,210000
232,81,11,3,250000
233,82,9,3,45000
234,82,1,3,520000
235,82,9,2,45000
236,82,2,1,650000
237,83,7,3,27000
238,84,1,3,520000
239,85,3,1,98000
240,85,3,2,98000
241,86,5,1,18000
242,86,3,3,98000
243,86,6,1,22000
244,87,11,1,250000
245,87,7,3,27000
246,87,9,1,45000
247,87,1,2,520000
248,88,11,2,250000
249,88,11,3,250000
250,88,11,2,250000
251,88,10,2,380000
252,89,10,3,380000
253,89,5,1,18000
254,90,10,1,380000
255,90,3,3,98000
256,90,9,1,45000
257,90,4,2,9500
258,91,6,1,22000
259,92,10,3,380000
260,92,5,3,18000
261,92,5,1,18000
262,93,3,3,98000
263,93,3,2,98000
264,93,4,2,9500
265,93,11,3,250000
266,93,10,3,380000
267,94,1,1,520000
268,94,7,3,27000
269,95,9,2,45000
270,96,2,1,650000
271,96,7,1,27000
272,96,6,2,22000
273,96,3,1,98000
274,97,11,3,250000
275,98,2,3,650000
276,98,2,3,650000
277,98,12,3,210000
278,99,9,1,45000
279,100,4,2,9500
280,100,9,2,45000
281,100,2,2,650000
282,101,1,1,520000
283,101,3,3,98000
284,101,2,2,650000
285,102,8,2,32000
286,103,9,3,45000
287,103,12,1,210000
288,103,12,3,210000
289,103,6,3,22000
290,104,10,3,380000
291,104,10,3,380000
292,104,9,3,45000
293,104,8,1,32000
294,105,1,2,520000
295,105,4,3,9500
296,105,12,2,210000
297,105,9,1,45000
298,106,1,3,520000
299,106,11,2,250000
300,106,4,3,9500
301,106,1,1,520000
302,106,9,2,45000
303,107,9,1,45000
304,107,1,3,520000
305,107,9,3,45000
306,107,2,2,650000
307,108,7,2,27000
308,109,9,2,45000
309,109,8,3,32000
310,109,6,1,22000
311,110,8,2,32000
312,111,11,1,250000
313,111,11,3,250000
314,111,7,2,27000
315,111,9,1,45000
316,111,12,1,210000
317,112,7,2,27000
318,113,10,3,380000
319,113,3,1,98000
320,113,11,1,250000
321,113,11,1,250000
322,114,12,1,210000
323,114,9,2,45000
324,114,3,3,98000
325,115,2,2,650000
326,115,10,3,380000
327,115,3,1,98000
328,116,10,1,380000
329,116,11,3,250000
330,116,3,1,98000
331,117,12,3,210000
332,117,5,3,18000
333,117,6,2,22000
334,117,12,1,210000
335,118,8,3,32000
336,119,12,1,210000
337,119,6,3,22000
338,120,4,2,9500
339,120,6,3,22000
340,121,5,1,18000
341,121,5,3,18000
342,121,10,3,380000
343,121,3,3,98000
344,121,11,2,250000
345,122,3,1,98000
346,122,1,1,520000
347,123,6,3,22000
348,124,7,2,27000
349,124,9,1,45000
350,125,7,2,27000
351,125,7,1,27000
352,125,3,1,98000
353,125,3,1,98000
354,126,1,3,520000
355,127,10,1,380000
356,127,4,3,9500
357,127,10,3,380000
358,127,5,2,18000
359,127,7,2,27000
360,128,12,1,210000
361,128,12,3,210000
362,128,3,2,98000
363,129,10,3,380000
364,129,5,3,18000
365,130,6,3,22000
366,130,7,2,27000
367,130,6,1,22000
368,130,2,1,650000
369,130,6,2,22000
370,131,4,2,9500
371,131,11,3,250000
372,131,8,1,32000
373,131,1,2,520000
374,131,5,1,18000
375,132,7,3,27000
376,132,2,1,650000
377,132,2,2,650000
378,132,7,1,27000
379,133,11,3,250000
380,133,12,3,210000
381,134,6,3,22000
382,134,3,2,98000
383,134,4,3,9500
384,135,11,3,250000
385,135,10,2,380000
386,135,1,1,520000
387,136,7,1,27000
388,136,7,1,27000
389,136,9,2,45000
390,136,6,2,22000
391,136,1,1,520000
392,137,9,1,45000
393,137,1,1,520000
394,137,5,2,18000
395,137,9,3,45000
396,138,10,2,380000
397,139,9,2,45000
398,139,7,3,27000
399,139,6,3,22000
400,139,5,1,18000
401,140,9,1,45000
402,141,2,3,650000
403,141,11,1,250000
404,141,11,1,250000
405,141,4,2,9500
406,141,11,3,250000
407,142,12,3,210000
408,142,12,3,210000
409,142,8,3,32000
410,142,6,2,22000
411,142,5,3,18000
412,143,5,1,18000
413,144,8,3,32000
414,145,4,1,9500
415,145,12,3,210000
416,145,5,3,18000
417,145,2,2,650000
418,145,7,3,27000
419,146,5,3,18000
420,146,1,1,520000
421,147,8,2,32000
422,147,6,1,22000
423,147,7,1,27000
424,147,8,1,32000
425,148,5,1,18000
426,148,10,3,380000
427,148,7,3,27000
428,148,8,1,32000
429,148,1,1,520000
430,149,1,3,520000
431,150,6,1,22000
432,150,12,1,210000
433,151,6,3,22000
434,151,10,1,380000
435,151,1,1,520000
436,151,12,2,210000
437,151,10,3,380000
438,152,11,2,250000
439,153,3,2,98000
440,153,1,2,520000
441,153,2,1,650000
442,153,5,2,18000
443,154,6,1,22000
444,154,12,3,210000
445,154,9,1,45000
446,154,10,1,380000
447,155,9,2,45000
448,155,11,1,250000
449,155,9,2,45000
450,156,4,3,9500
451,156,3,2,98000
452,157,6,2,22000
453,158,4,1,9500
454,158,5,2,18000
455,158,10,2,380000
456,158,1,1,520000
457,158,7,3,27000
458,159,8,2,32000
459,159,6,1,22000
460,159,5,2,18000
461,159,1,1,520000
462,159,2,2,650000
463,160,7,3,27000
464,160,5,3,18000
465,160,11,1,250000
466,160,4,3,9500
467,160,12,1,210000
468,161,4,2,9500
469,162,11,1,250000
470,162,6,1,22000
471,162,1,3,520000
472,162,2,3,650000
473,162,5,1,18000
474,163,11,3,250000
475,164,6,2,22000
476,164,2,1,650000
477,164,8,1,32000
478,164,1,3,520000
479,164,3,1,98000
480,165,1,1,520000
481,165,1,2,520000
482,165,3,2,98000
483,165,11,1,250000
484,165,3,2,98000
485,166,7,2,27000
486,166,4,1,9500
487,166,12,3,210000
488,166,4,1,9500
489,167,6,3,22000
490,167,7,1,27000
491,167,6,3,22000
492,167,12,3,210000
493,167,2,3,650000
494,168,3,3,98000
495,168,11,1,250000
496,168,12,2,210000
497,169,4,1,9500
498,169,8,3,32000
499,169,10,3,380000
500,169,5,2,18000
501,170,9,2,45000
502,170,8,3,32000
503,170,10,2,380000
504,171,1,2,520000
505,171,4,3,9500
506,171,7,3,27000
507,172,8,1,32000
508,172,5,2,18000
509,172,6,3,22000
510,172,5,1,18000
511,172,8,1,32000
512,173,5,2,18000
513,173,7,1,27000
514,173,7,3,27000
515,173,11,2,250000
516,174,4,2,9500
517,174,6,2,22000
518,174,5,3,18000
519,174,11,3,250000
520,174,2,1,650000
521,175,4,3,9500
522,175,11,1,250000
523,175,12,1,210000
524,176,7,2,27000
525,177,8,1,32000
526,177,1,2,520000
527,178,1,1,520000
528,178,9,3,45000
529,178,8,1,32000
530,179,6,2,22000
531,180,3,1,98000
532,181,5,3,18000
533,181,7,2,27000
534,181,8,2,32000
535,181,5,3,18000
536,182,2,1,650000
537,182,1,3,520000
538,182,6,2,22000
539,182,4,1,9500
540,182,10,1,380000
541,183,11,1,250000
542,183,6,1,22000
543,183,7,1,27000
544,183,3,1,98000
545,183,8,3,32000
546,184,1,1,520000
547,184,4,1,9500
548,184,5,1,18000
549,185,12,3,210000
550,185,5,1,18000
551,185,6,2,22000
552,185,3,1,98000
553,186,10,2,380000
554,186,8,1,32000
555,186,5,2,18000
556,186,6,3,22000
557,187,8,1,32000
558,187,2,2,650000
559,187,1,2,520000
560,187,1,3,520000
561,188,2,1,650000
562,189,10,2,380000
563,189,9,3,45000
564,189,10,1,380000
565,190,3,3,98000
566,190,2,3,650000
567,191,4,3,9500
568,191,4,1,9500
569,191,5,3,18000
570,191,3,2,98000
571,191,6,2,22000
572,192,7,1,27000
573,192,11,1,250000
574,193,10,3,380000
575,193,4,2,9500
576,193,7,3,27000
577,194,9,3,45000
578,195,9,3,45000
579,196,4,2,9500
580,196,3,3,98000
581,196,7,1,27000
582,196,8,1,32000
583,197,8,1,32000
584,197,1,2,520000
585,197,1,2,520000
586,197,6,1,22000
587,197,9,2,45000
588,198,1,2,520000
589,199,11,1,250000
590,199,10,1,380000
591,199,2,1,650000
592,199,7,1,27000
593,200,4,1,9500
594,200,8,1,32000
595,200,7,3,27000
596,200,10,3,380000
597,200,1,2,520000
598,201,7,1,27000
599,201,1,1,520000
600,202,9,1,45000
601,202,1,2,520000
602,203,12,2,210000
603,203,12,2,210000
604,203,1,2,520000
605,204,12,1,210000
606,204,4,1,9500
607,204,3,2,98000
608,204,8,1,32000
609,205,3,2,98000
610,206,4,3,9500
611,207,5,1,18000
612,207,10,1,380000
613,207,9,3,45000
614,207,1,3,520000
615,207,8,1,32000
616,208,2,1,650000
617,208,1,2,520000
618,208,8,1,32000
619,209,3,3,98000
620,210,6,1,22000
621,210,10,3,380000
622,210,1,3,520000
623,210,12,2,210000
624,210,2,1,650000
625,211,7,3,27000
626,211,7,2,27000
627,211,7,3,27000
628,211,1,1,520000
629,211,5,3,18000
630,212,8,2,32000
631,212,2,2,650000
632,213,4,3,9500
633,213,8,1,32000
634,214,2,3,650000
635,215,12,1,210000
636,215,12,2,210000
637,216,4,1,9500
638,216,9,2,45000
639,216,4,3,9500
640,216,10,2,380000
641,216,12,2,210000
642,217,4,1,9500
643,217,7,3,27000
644,217,7,1,27000
645,217,9,1,45000
646,218,6,3,22000
647,219,10,3,380000
648,219,3,3,98000
649,219,3,3,98000
650,219,3,2,98000
651,219,9,2,45000
652,220,12,1,210000
653,221,6,2,22000
654,221,1,3,520000
655,221,9,3,45000
656,221,11,1,250000
657,222,8,1,32000
658,223,11,2,250000
659,223,7,3,27000
660,223,10,3,380000
661,223,1,1,520000
662,223,11,3,250000
663,224,10,3,380000
664,225,9,1,45000
665,226,7,2,27000
666,226,11,1,250000
667,226,2,2,650000
668,226,3,1,98000
669,227,3,2,98000
670,227,11,2,250000
671,228,3,1,98000
672,228,5,3,18000
673,229,12,3,210000
674,229,10,3,380000
675,229,3,3,98000
676,229,3,3,98000
677,230,5,2,18000
678,230,11,2,250000
679,231,11,3,250000
680,231,4,3,9500
681,231,11,1,250000
682,231,6,2,22000
683,231,10,1,380000
684,232,8,3,32000
685,232,1,1,520000
686,233,12,3,210000
687,234,12,2,210000
688,234,7,3,27000
689,235,5,1,18000
690,235,7,2,27000
691,235,4,2,9500
692,235,1,3,520000
693,236,9,3,45000
694,237,3,2,98000
695,237,8,2,32000
696,237,3,1,98000
697,238,9,3,45000
698,239,3,2,98000
699,239,12,3,210000
700,240,3,2,98000
701,240,9,3,45000
702,240,12,2,210000
703,240,2,3,650000
704,241,3,3,98000
705,241,10,2,380000
706,241,2,1,650000
707,241,10,2,380000
708,241,7,3,27000
709,242,5,3,18000
710,242,8,2,32000
711,243,11,2,250000
712,243,4,2,9500
713,243,1,1,520000
714,243,5,3,18000
715,244,10,1,380000
716,244,2,2,650000
717,244,1,2,520000
718,244,11,2,250000
719,245,12,1,210000
720,245,6,3,22000
721,245,5,1,18000
722,245,2,2,650000
723,246,9,1,45000
724,247,5,2,18000
725,247,5,2,18000
726,247,12,1,210000
727,248,2,3,650000
728,248,2,3,650000
729,248,3,3,98000
730,248,1,2,520000
731,248,12,1,210000
732,249,10,3,380000
733,249,9,3,45000
734,250,11,2,250000
735,250,7,3,27000
736,251,4,3,9500
737,251,1,2,520000
738,251,2,2,650000
739,251,2,3,650000
740,252,10,2,380000
741,252,2,3,650000
742,252,11,3,250000
743,252,2,1,650000
744,253,10,2,380000
745,253,5,2,18000
746,253,12,2,210000
747,254,7,1,27000
748,254,9,2,45000
749,254,3,2,98000
750,255,9,2,45000
751,255,4,3,9500
752,255,9,3,45000
753,255,4,3,9500
754,256,9,3,45000
755,256,2,3,650000
756,256,7,2,27000
757,256,8,3,32000
758,256,1,1,520000
759,257,6,3,22000
760,257,11,1,250000
761,257,1,2,520000
762,257,8,2,32000
763,258,10,1,380000
764,258,2,1,650000
765,258,4,3,9500
766,259,3,3,98000
767,259,2,3,650000
768,259,11,1,250000
769,260,5,2,18000
770,260,11,2,250000
771,260,2,2,650000
772,261,2,1,650000
773,261,4,3,9500
774,261,2,3,650000
775,261,4,3,9500
776,261,11,2,250000
777,262,6,2,22000
778,263,10,1,380000
779,264,1,1,520000
780,264,12,1,210000
781,265,1,2,520000
782,265,4,1,9500
783,265,10,2,380000
784,265,4,1,9500
785,266,12,3,210000
786,266,12,1,210000
787,266,1,1,520000
788,266,6,2,22000
789,267,10,1,380000
790,267,11,3,250000
791,267,8,1,32000
792,268,3,1,98000
793,268,6,2,22000
794,268,3,2,98000
795,268,6,2,22000
796,268,5,3,18000
797,269,4,3,9500
798,269,3,1,98000
799,270,8,2,32000
800,270,10,1,380000
801,270,11,1,250000
802,270,5,3,18000
803,271,11,3,250000
804,271,9,2,45000
805,271,6,3,22000
806,271,8,1,32000
807,271,8,1,32000
808,272,10,3,380000
809,273,7,3,27000
810,273,7,1,27000
811,273,2,3,650000
812,274,9,3,45000
813,274,11,2,250000
814,275,12,2,210000
815,275,8,1,32000
816,276,3,1,98000
817,276,5,3,18000
818,276,12,2,210000
819,276,10,1,380000
820,277,6,3,22000
821,277,6,2,22000
822,277,2,3,650000
823,278,6,2,22000
824,278,12,2,210000
825,278,12,1,210000
826,278,6,2,22000
827,278,5,3,18000
828,279,8,2,32000
829,280,11,1,250000
830,280,9,1,45000
831,280,1,1,520000
832,281,11,3,250000
833,281,12,2,210000
834,281,6,3,22000
835,281,12,2,210000
836,281,12,1,210000
837,282,7,2,27000
838,282,3,2,98000
839,283,4,3,9500
840,283,11,3,250000
841,283,11,2,250000
842,284,4,1,9500
843,284,11,1,250000
844,285,6,3,22000
845,285,2,3,650000
846,285,3,1,98000
847,286,9,3,45000
848,286,9,3,45000
849,286,12,3,210000
850,287,5,1,18000
851,287,4,3,9500
852,287,12,3,210000
853,287,1,3,520000
854,287,4,1,9500
855,288,12,3,210000
856,288,8,1,32000
857,288,7,2,27000
858,288,11,1,250000
859,289,3,2,98000
860,289,7,3,27000
861,289,6,2,22000
862,289,11,3,250000
863,289,7,3,27000
864,290,9,3,45000
865,290,7,2,27000
866,291,10,3,380000
867,291,7,3,27000
868,291,4,3,9500
869,291,7,1,27000
870,291,11,2,250000
871,292,8,1,32000
872,292,6,3,22000
873,293,10,2,380000
874,294,1,1,520000
875,294,4,1,9500
876,294,4,2,9500
877,294,12,3,210000
878,295,8,3,32000
879,296,7,1,27000
880,296,9,1,45000
881,296,7,3,27000
882,296,9,2,45000
883,297,1,3,520000
884,298,4,1,9500
885,298,2,3,650000
886,298,9,3,45000
887,299,8,3,32000
888,300,5,2,18000
889,300,6,2,22000
890,300,3,2,98000
891,300,8,2,32000
892,300,6,2,22000
893,301,5,2,18000
894,301,3,2,98000
895,301,10,2,380000
896,302,8,1,32000
897,303,3,1,98000
898,303,1,2,520000
899,304,6,2,22000
900,304,9,1,45000
901,304,9,1,45000
902,304,5,1,18000
903,304,5,3,18000
904,305,3,1,98000
905,305,11,1,250000
906,305,8,3,32000
907,305,3,1,98000
908,306,1,3,520000
909,306,3,3,98000
910,307,11,2,250000
911,307,11,3,250000
912,307,2,1,650000
913,307,6,3,22000
914,308,11,2,250000
915,308,10,1,380000
916,308,5,1,18000
917,308,3,2,98000
918,309,9,2,45000
919,309,8,3,32000
920,309,9,3,45000
921,310,4,3,9500
922,310,5,3,18000
923,310,9,1,45000
924,310,2,3,650000
925,310,6,2,22000
926,311,8,3,32000
927,311,9,1,45000
928,312,8,1,32000
929,312,3,3,98000
930,313,4,3,9500
931,313,1,1,520000
932,313,3,1,98000
933,314,4,1,9500
934,314,10,3,380000
935,314,10,2,380000
936,315,10,1,380000
937,315,9,2,45000
938,315,12,3,210000
939,315,5,1,18000
940,315,4,3,9500
941,316,12,3,210000
942,316,1,3,520000
943,316,8,1,32000
944,317,2,3,650000
945,317,7,2,27000
946,318,7,3,27000
947,319,8,3,32000
948,319,1,2,520000
949,319,11,2,250000
950,320,7,3,27000
951,321,10,2,380000
952,322,7,3,27000
953,322,12,2,210000
954,323,10,1,380000
955,324,7,2,27000
956,324,5,3,18000
957,324,2,1,650000
958,324,12,1,210000
959,324,9,1,45000
960,325,1,3,520000
961,325,11,3,250000
962,326,1,1,520000
963,326,7,3,27000
964,327,1,3,520000
965,327,10,2,380000
966,327,11,1,250000
967,327,10,1,380000
968,327,5,2,18000
969,328,10,1,380000
970,328,6,1,22000
971,329,4,3,9500
972,330,10,1,380000
973,330,8,3,32000
974,331,7,3,27000
975,331,1,1,520000
976,331,5,2,18000
977,331,4,1,9500
978,332,3,2,98000
979,332,6,1,22000
980,332,3,3,98000
981,333,8,1,32000
982,334,4,3,9500
983,334,5,2,18000
984,334,4,2,9500
985,334,1,3,520000
986,335,1,1,520000
987,335,1,1,520000
988,336,10,1,380000
989,336,7,1,27000
990,337,7,3,27000
991,337,1,3,520000
992,337,9,3,45000
993,337,10,1,380000
994,338,12,3,210000
995,339,6,2,22000
996,339,1,2,520000
997,339,8,3,32000
998,339,11,1,250000
999,340,10,1,380000
1000,340,9,1,45000
1001,340,3,1,98000
1002,340,9,2,45000
1003,340,3,2,98000
1004,341,1,2,520000
1005,341,5,2,18000
1006,341,8,1,32000
1007,341,10,2,380000
1008,341,12,3,210000
1009,342,11,3,250000
1010,342,1,2,520000
1011,342,9,2,45000
1012,342,4,2,9500
1013,342,3,3,98000
1014,343,5,1,18000
1015,343,4,1,9500
1016,344,8,3,32000
1017,344,4,1,9500
1018,344,3,1,98000
1019,344,9,1,45000
1020,345,4,2,9500
1021,345,1,2,520000
1022,345,5,3,18000
1023,346,1,2,520000
1024,346,11,2,250000
1025,347,10,2,380000
1026,347,10,1,380000
1027,347,12,2,210000
1028,347,3,2,98000
1029,348,2,1,650000
1030,348,11,3,250000
1031,348,2,3,650000
1032,348,3,1,98000
1033,348,8,3,32000
1034,349,2,1,650000
1035,349,5,1,18000
1036,349,9,2,45000
1037,349,10,3,380000
1038,349,10,3,380000
1039,350,2,1,650000
1040,351,7,1,27000
1041,351,4,1,9500
1042,351,3,1,98000
1043,351,1,1,520000
1044,352,7,3,27000
1045,352,3,3,98000
1046,353,6,3,22000
1047,354,9,2,45000
1048,355,8,2,32000
1049,355,9,3,45000
1050,355,4,3,9500
1051,355,1,1,520000
1052,356,3,2,98000
1053,357,3,2,98000
1054,357,3,1,98000
1055,358,8,2,32000
1056,358,5,2,18000
1057,358,12,1,210000
1058,358,7,1,27000
1059,359,12,1,210000
1060,359,9,1,45000
1061,359,9,2,45000
1062,359,9,3,45000
1063,360,12,1,210000
1064,360,2,2,650000
1065,360,8,1,32000
1066,360,1,2,520000
1067,361,1,1,520000
1068,361,8,1,32000
1069,362,1,1,520000
1070,362,1,3,520000
1071,362,9,1,45000
1072,363,8,1,32000
1073,363,7,3,27000
1074,363,9,3,45000
1075,364,7,1,27000
1076,364,9,2,45000
1077,364,1,3,520000
1078,364,7,2,27000
1079,364,12,2,210000
1080,365,12,2,210000
1081,365,11,3,250000
1082,366,4,2,9500
1083,366,6,2,22000
1084,366,3,2,98000
1085,367,4,2,9500
1086,367,12,3,210000
1087,367,10,1,380000
1088,367,1,3,520000
1089,368,8,3,32000
1090,369,4,1,9500
1091,369,11,2,250000
1092,369,6,1,22000
1093,369,6,1,22000
1094,369,4,2,9500
1095,370,9,2,45000
1096,370,4,3,9500
1097,370,5,3,18000
1098,370,11,3,250000
1099,371,9,2,45000
1100,371,2,3,650000
1101,372,6,3,22000
1102,372,10,2,380000
1103,372,8,2,32000
1104,373,9,2,45000
1105,373,2,2,650000
1106,373,12,1,210000
1107,374,9,3,45000
1108,374,5,2,18000
1109,374,10,2,380000
1110,375,9,2,45000
1111,375,9,2,45000
1112,376,7,3,27000
1113,376,9,3,45000
1114,376,6,3,22000
1115,376,9,3,45000
1116,376,5,3,18000
1117,377,5,1,18000
1118,377,6,3,22000
1119,377,11,2,250000
1120,377,2,2,650000
1121,377,12,2,210000
1122,378,4,3,9500
1123,378,7,3,27000
1124,378,3,1,98000
1125,379,3,1,98000
1126,379,7,2,27000
1127,379,7,2,27000
1128,379,4,2,9500
1129,380,6,1,22000
1130,380,11,1,250000
1131,380,6,1,22000
1132,380,8,3,32000
1133,380,7,1,27000
1134,381,7,1,27000
1135,381,5,3,18000
1136,381,4,2,9500
1137,381,2,2,650000
1138,382,1,2,520000
1139,382,12,3,210000
1140,382,2,1,650000
1141,383,6,2,22000
1142,383,6,3,22000
1143,383,8,2,32000
1144,383,1,3,520000
1145,384,12,3,210000
1146,384,11,2,250000
1147,384,3,1,98000
1148,385,12,2,210000
1149,385,2,1,650000
1150,385,1,3,520000
1151,386,4,3,9500
1152,386,2,2,650000
1153,386,10,2,380000
1154,387,1,2,520000
1155,388,6,3,22000
1156,388,3,3,98000
1157,388,1,2,520000
1158,389,7,2,27000
1159,389,12,3,210000
1160,390,7,2,27000
1161,390,5,3,18000
1162,390,1,3,520000
1163,391,5,3,18000
1164,391,10,1,380000
1165,391,1,2,520000
1166,392,1,2,520000
1167,392,4,1,9500
1168,393,8,3,32000
1169,393,1,1,520000
1170,393,7,1,27000
1171,393,9,2,45000
1172,394,1,2,520000
1173,394,8,1,32000
1174,394,1,2,520000
1175,394,8,3,32000
1176,394,10,3,380000
1177,395,2,1,650000
1178,395,9,3,45000
1179,395,10,2,380000
1180,395,2,1,650000
1181,396,9,3,45000
1182,396,8,2,32000
1183,396,9,3,45000
1184,396,3,2,98000
1185,397,8,1,32000
1186,397,11,3,250000
1187,397,3,3,98000
1188,397,6,2,22000
1189,398,1,3,520000
1190,399,4,2,9500
1191,399,9,1,45000
1192,399,9,3,45000
1193,399,4,1,9500
1194,400,4,2,9500
1195,400,7,1,27000
1196,400,10,1,380000
1197,400,3,2,98000
1198,400,9,3,45000
1199,401,11,3,250000
1200,401,6,1,22000
1201,401,8,1,32000
1202,402,12,2,210000
1203,403,2,3,650000
1204,404,3,2,98000
1205,404,11,1,250000
1206,404,7,1,27000
1207,404,5,1,18000
1208,404,8,2,32000
1209,405,7,1,27000
1210,405,11,1,250000
1211,405,4,3,9500
1212,405,10,2,380000
1213,406,4,1,9500
1214,406,8,2,32000
1215,406,9,3,45000
1216,406,8,2,32000
1217,406,4,2,9500
1218,407,4,3,9500
1219,407,9,2,45000
1220,407,6,2,22000
1221,407,10,2,380000
1222,408,7,3,27000
1223,408,10,1,380000
1224,408,12,3,210000
1225,409,8,1,32000
1226,409,4,3,9500
1227,409,2,3,650000
1228,409,12,2,210000
1229,409,10,3,380000
1230,410,11,3,250000
1231,410,9,3,45000
1232,411,3,2,98000
1233,412,8,1,32000
1234,412,11,3,250000
1235,412,7,3,27000
1236,412,11,3,250000
1237,412,8,1,32000
1238,413,3,2,98000
1239,413,3,1,98000
1240,413,7,3,27000
1241,414,3,1,98000
1242,414,5,3,18000
1243,414,5,3,18000
1244,414,9,1,45000
